Learning Rate	Train Loss	Train Acc.	Train IOU.	
0.001000	0.314841	0.852501	0.762820	
0.001000	0.256896	0.880407	0.816889	
0.001000	0.248107	0.885481	0.823662	
0.001000	0.246716	0.887036	0.825715	
0.001000	0.242633	0.890512	0.829787	
0.001000	0.243123	0.889047	0.829168	
0.001000	0.246111	0.886053	0.824917	
0.001000	0.246553	0.888491	0.828356	
0.001000	0.251688	0.886086	0.825631	
0.001000	0.251939	0.882892	0.820572	
0.000100	0.230832	0.902232	0.847596	
0.000100	0.220230	0.908436	0.855917	
0.000100	0.220004	0.910491	0.858856	
0.000100	0.216491	0.912203	0.860941	
0.000100	0.217180	0.913355	0.862762	
0.000100	0.216167	0.914956	0.864322	
0.000100	0.213537	0.914881	0.864073	
0.000100	0.211800	0.917681	0.867514	
0.000100	0.213240	0.916778	0.866527	
0.000100	0.211928	0.917498	0.867891	
0.000100	0.210557	0.916840	0.866750	
0.000100	0.211504	0.918923	0.869684	
0.000100	0.211791	0.918359	0.869789	
0.000100	0.210098	0.919444	0.870874	
0.000100	0.211236	0.918730	0.869334	
0.000010	0.205210	0.922043	0.874118	
0.000010	0.207204	0.922514	0.875161	
0.000010	0.200890	0.922458	0.874570	
0.000010	0.205443	0.923973	0.876397	
0.000010	0.202579	0.925265	0.877972	
0.000010	0.205660	0.924227	0.877314	
